# k_value  z_plot  Normalized_Delta  Gamma
1.200000000000000025e-02 3.232323232323232709e+00 2.988639069147266403e-01 5.440937056347340262e-01
1.200000000000000025e-02 3.131313131313131493e+00 3.060512056377898138e-01 5.440559701048939267e-01
1.200000000000000025e-02 3.030303030303030276e+00 3.135864230348280324e-01 5.440215606128390169e-01
1.200000000000000025e-02 2.929292929292929060e+00 3.214948443382445453e-01 5.439735595522499079e-01
1.200000000000000025e-02 2.828282828282828731e+00 3.298040099659020896e-01 5.439352050107274517e-01
1.200000000000000025e-02 2.727272727272727515e+00 3.385442928749031744e-01 5.438973259937086580e-01
1.200000000000000025e-02 2.626262626262626299e+00 3.477490218494528884e-01 5.438414450858983784e-01
1.200000000000000025e-02 2.525252525252525082e+00 3.574548042697269223e-01 5.437973322445335267e-01
1.200000000000000025e-02 2.424242424242424754e+00 3.677021007520214768e-01 5.437520858031845705e-01
1.200000000000000025e-02 2.323232323232323537e+00 3.785355786855398308e-01 5.436987524054942567e-01
1.200000000000000025e-02 2.222222222222222321e+00 3.900045760678993445e-01 5.436433962882298854e-01
1.200000000000000025e-02 2.121212121212121104e+00 4.021636758212072671e-01 5.435944475321273783e-01
1.200000000000000025e-02 2.020202020202020776e+00 4.150735708931174717e-01 5.435395723449880645e-01
1.200000000000000025e-02 1.919191919191918672e+00 4.288015406465819357e-01 5.434789442388332503e-01
1.200000000000000025e-02 1.818181818181818343e+00 4.434221512565825751e-01 5.434236520131571213e-01
1.200000000000000025e-02 1.717171717171718015e+00 4.590185177329375033e-01 5.433659889313955382e-01
1.200000000000000025e-02 1.616161616161615910e+00 4.756829784677586437e-01 5.433067017613437688e-01
1.200000000000000025e-02 1.515151515151515582e+00 4.935179466205898979e-01 5.432492788397612626e-01
1.200000000000000025e-02 1.414141414141413478e+00 5.126370046773744971e-01 5.431947333460795946e-01
1.200000000000000025e-02 1.313131313131313149e+00 5.331661398521460038e-01 5.431427625969841300e-01
1.200000000000000025e-02 1.212121212121212821e+00 5.552439801694006860e-01 5.430971184660158269e-01
1.200000000000000025e-02 1.111111111111110716e+00 5.790224504118067772e-01 5.430607403314033910e-01
1.200000000000000025e-02 1.010101010101010388e+00 6.046666496818314807e-01 5.430334031264287820e-01
1.200000000000000025e-02 9.090909090909100598e-01 6.323539138739013854e-01 5.430252813277477442e-01
1.200000000000000025e-02 8.080808080808079552e-01 6.622710378364726758e-01 5.430398189029475020e-01
1.200000000000000025e-02 7.070707070707076269e-01 6.946098352010251498e-01 5.430863808387014213e-01
1.200000000000000025e-02 6.060606060606055223e-01 7.295593238895279331e-01 5.431770071595719562e-01
1.200000000000000025e-02 5.050505050505051940e-01 7.672937565794827330e-01 5.433272122338862475e-01
1.200000000000000025e-02 4.040404040404048658e-01 8.079551201296731877e-01 5.435562495201190503e-01
1.200000000000000025e-02 3.030303030303027612e-01 8.516286562745590816e-01 5.438908862298589275e-01
1.200000000000000025e-02 2.020202020202024329e-01 8.983108376873580880e-01 5.443652325596832764e-01
1.200000000000000025e-02 1.010101010101003283e-01 9.478696223834089940e-01 5.450240477280929863e-01
1.200000000000000025e-02 0.000000000000000000e+00 1.000000000000000000e+00 5.459228349088043331e-01
2.300000000000000308e-02 1.000000000000000000e+01 1.149764560060248242e-01 5.439153753984997675e-01
2.300000000000000308e-02 9.898989898989899672e+00 1.160410391721223428e-01 5.441304637786195109e-01
2.300000000000000308e-02 9.797979797979797567e+00 1.171255167949339371e-01 5.440428226435017889e-01
2.300000000000000308e-02 9.696969696969697239e+00 1.182304425771778245e-01 5.438420676295371292e-01
2.300000000000000308e-02 9.595959595959595134e+00 1.193563901094387009e-01 5.437105643541494393e-01
2.300000000000000308e-02 9.494949494949494806e+00 1.205039527382086167e-01 5.438303485138979987e-01
2.300000000000000308e-02 9.393939393939394478e+00 1.216737787365010925e-01 5.438407221227884447e-01
2.300000000000000308e-02 9.292929292929292373e+00 1.228665208982411411e-01 5.437582587964041592e-01
2.300000000000000308e-02 9.191919191919192045e+00 1.240828542152986880e-01 5.436527447842799399e-01
2.300000000000000308e-02 9.090909090909091717e+00 1.253234667556603343e-01 5.437697382034991644e-01
2.300000000000000308e-02 8.989898989898989612e+00 1.265891171145854532e-01 5.437408534596605003e-01
2.300000000000000308e-02 8.888888888888889284e+00 1.278805685874945253e-01 5.436012398161390591e-01
2.300000000000000308e-02 8.787878787878787179e+00 1.291986017390402142e-01 5.435616598413977041e-01
2.300000000000000308e-02 8.686868686868686851e+00 1.305440381779076897e-01 5.436827639557478831e-01
2.300000000000000308e-02 8.585858585858586522e+00 1.319177659688885174e-01 5.436503478040106696e-01
2.300000000000000308e-02 8.484848484848484418e+00 1.333206830092605599e-01 5.435001522361143644e-01
2.300000000000000308e-02 8.383838383838384090e+00 1.347536998187075785e-01 5.435378602474109089e-01
2.300000000000000308e-02 8.282828282828283761e+00 1.362178027541935121e-01 5.436380031531207191e-01
2.300000000000000308e-02 8.181818181818181657e+00 1.377140372318196027e-01 5.435531322631104167e-01
2.300000000000000308e-02 8.080808080808081328e+00 1.392434659549864062e-01 5.433499913894084266e-01
2.300000000000000308e-02 7.979797979797979224e+00 1.408071630771524918e-01 5.434054278373795510e-01
2.300000000000000308e-02 7.878787878787878896e+00 1.424063171954058626e-01 5.434644861060246024e-01
2.300000000000000308e-02 7.777777777777777679e+00 1.440421673891761067e-01 5.433586367599521072e-01
2.300000000000000308e-02 7.676767676767676463e+00 1.457159805161377941e-01 5.431707774816528778e-01
2.300000000000000308e-02 7.575757575757576134e+00 1.474290381430662933e-01 5.432850706590943712e-01
2.300000000000000308e-02 7.474747474747474918e+00 1.491827793709083749e-01 5.433335040153669526e-01
2.300000000000000308e-02 7.373737373737373701e+00 1.509786837498861833e-01 5.432160402631861507e-01
2.300000000000000308e-02 7.272727272727273373e+00 1.528182582592301775e-01 5.431362013288724144e-01
2.300000000000000308e-02 7.171717171717171269e+00 1.547030969039975834e-01 5.431699229332179746e-01
2.300000000000000308e-02 7.070707070707070940e+00 1.566349191756626347e-01 5.431071551670869635e-01
2.300000000000000308e-02 6.969696969696969724e+00 1.586154851454020520e-01 5.430324205351195754e-01
2.300000000000000308e-02 6.868686868686868507e+00 1.606466370388401621e-01 5.430484492001059760e-01
2.300000000000000308e-02 6.767676767676768179e+00 1.627303676971642021e-01 5.429715423424312792e-01
2.300000000000000308e-02 6.666666666666666075e+00 1.648687199300765960e-01 5.429094602523265589e-01
2.300000000000000308e-02 6.565656565656565746e+00 1.670638434578492759e-01 5.429300519944352255e-01
2.300000000000000308e-02 6.464646464646464530e+00 1.693180605321490950e-01 5.428509344942598069e-01
2.300000000000000308e-02 6.363636363636363313e+00 1.716337568965626836e-01 5.427797123792124090e-01
2.300000000000000308e-02 6.262626262626262985e+00 1.740134558039747592e-01 5.427728465671890490e-01
2.300000000000000308e-02 6.161616161616161769e+00 1.764598822425688107e-01 5.426711936106124456e-01
2.300000000000000308e-02 6.060606060606060552e+00 1.789758292206487800e-01 5.426271918905448688e-01
2.300000000000000308e-02 5.959595959595959336e+00 1.815642888504804819e-01 5.426163938644715801e-01
2.300000000000000308e-02 5.858585858585859008e+00 1.842284753917502460e-01 5.424905767602544726e-01
2.300000000000000308e-02 5.757575757575757791e+00 1.869716780842857473e-01 5.424591678383531290e-01
2.300000000000000308e-02 5.656565656565656575e+00 1.897974725847715871e-01 5.424410596566755505e-01
2.300000000000000308e-02 5.555555555555555358e+00 1.927096622709475737e-01 5.423371825900691334e-01
2.300000000000000308e-02 5.454545454545455030e+00 1.957121822786209719e-01 5.422996596047761075e-01
2.300000000000000308e-02 5.353535353535353813e+00 1.988093243133536303e-01 5.422100747438701740e-01
2.300000000000000308e-02 5.252525252525252597e+00 2.020055810055183254e-01 5.421342299577718293e-01
2.300000000000000308e-02 5.151515151515151381e+00 2.053057605448477818e-01 5.420636170789713271e-01
2.300000000000000308e-02 5.050505050505050164e+00 2.087149881933638706e-01 5.419748379094727619e-01
2.300000000000000308e-02 4.949494949494949836e+00 2.122386889866263171e-01 5.419156618965509375e-01
2.300000000000000308e-02 4.848484848484848619e+00 2.158827343900429352e-01 5.418069237939953098e-01
2.300000000000000308e-02 4.747474747474747403e+00 2.196532684414830572e-01 5.417564796002311001e-01
2.300000000000000308e-02 4.646464646464646187e+00 2.235570281356479283e-01 5.416293285424370607e-01
2.300000000000000308e-02 4.545454545454545858e+00 2.276010373035146639e-01 5.415707955942645757e-01
2.300000000000000308e-02 4.444444444444444642e+00 2.317930017270994902e-01 5.414634344407545097e-01
2.300000000000000308e-02 4.343434343434343425e+00 2.361410628378203258e-01 5.413615664533598659e-01
2.300000000000000308e-02 4.242424242424242209e+00 2.406540173644148850e-01 5.412623209439006988e-01
2.300000000000000308e-02 4.141414141414141881e+00 2.453413300871940539e-01 5.411517365850113670e-01
2.300000000000000308e-02 4.040404040404040664e+00 2.502131612193471133e-01 5.410319449068905495e-01
2.300000000000000308e-02 3.939393939393939448e+00 2.552804864477763447e-01 5.409123612413471172e-01
2.300000000000000308e-02 3.838383838383838231e+00 2.605551731869559795e-01 5.407771752593573122e-01
2.300000000000000308e-02 3.737373737373737903e+00 2.660499691987027737e-01 5.406567587426402977e-01
2.300000000000000308e-02 3.636363636363636687e+00 2.717788104482519729e-01 5.405057815138338828e-01
2.300000000000000308e-02 3.535353535353535470e+00 2.777566221369925925e-01 5.403734430890007046e-01
2.300000000000000308e-02 3.434343434343434254e+00 2.839998020703995429e-01 5.402115807014602478e-01
2.300000000000000308e-02 3.333333333333333037e+00 2.905259944293611118e-01 5.400577771723430454e-01
2.300000000000000308e-02 3.232323232323232709e+00 2.973545450142408009e-01 5.398890719184483711e-01
2.300000000000000308e-02 3.131313131313131493e+00 3.045064758002504202e-01 5.397104891863314657e-01
2.300000000000000308e-02 3.030303030303030276e+00 3.120047436694460830e-01 5.395275811606840000e-01
2.300000000000000308e-02 2.929292929292929060e+00 3.198745438206359037e-01 5.393219100094711616e-01
2.300000000000000308e-02 2.828282828282828731e+00 3.281433200581111431e-01 5.391165243642973559e-01
2.300000000000000308e-02 2.727272727272727515e+00 3.368413447558837315e-01 5.389015202485017975e-01
2.300000000000000308e-02 2.626262626262626299e+00 3.460018459917581501e-01 5.386573491376493994e-01
2.300000000000000308e-02 2.525252525252525082e+00 3.556613310182755172e-01 5.384123848193236306e-01
2.300000000000000308e-02 2.424242424242424754e+00 3.658601566397838845e-01 5.381532557156916141e-01
2.300000000000000308e-02 2.323232323232323537e+00 3.766428929401832715e-01 5.378719737853140392e-01
2.300000000000000308e-02 2.222222222222222321e+00 3.880588021584640557e-01 5.375721029285025487e-01
2.300000000000000308e-02 2.121212121212121104e+00 4.001623908124443685e-01 5.372619681579248185e-01
2.300000000000000308e-02 2.020202020202020776e+00 4.130143113278953448e-01 5.369274186761138212e-01
2.300000000000000308e-02 1.919191919191918672e+00 4.266818528475946892e-01 5.365661665217156262e-01
2.300000000000000308e-02 1.818181818181818343e+00 4.412396522832839341e-01 5.361875861636478113e-01
2.300000000000000308e-02 1.717171717171718015e+00 4.567709697117927625e-01 5.357824230335209714e-01
2.300000000000000308e-02 1.616161616161615910e+00 4.733684311072859918e-01 5.353487784233710300e-01
2.300000000000000308e-02 1.515151515151515582e+00 4.911349586991879956e-01 5.348871564972494941e-01
2.300000000000000308e-02 1.414141414141413478e+00 5.101848339160780510e-01 5.343975748116597257e-01
2.300000000000000308e-02 1.313131313131313149e+00 5.306451845851913873e-01 5.338760650356149107e-01
2.300000000000000308e-02 1.212121212121212821e+00 5.526562834192472184e-01 5.333237327210216261e-01
2.300000000000000308e-02 1.111111111111110716e+00 5.763724799429827961e-01 5.327415022658111843e-01
